id,field,mngt_soil,transect,distance,type,nest_pa,nest_id,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay
A554,PaWe05,NT,30-31m,30,Nest,1,PaWe05_FIT_2.6,1.456687930069866,0.7624080707063231,2.35,7.83,41.116231438812086,41.6794674859191,17.204301075268816
A549,PaWe03,NT,0-1m,0,Control,0,NA,1.4075089668739362,0.7150244384738577,2.57,5.93,36.1592938519963,34.2810222724007,29.559683875602996
A545,PaWe03,NT,5-6m,5,Control,0,NA,1.559306191846485,0.8071609243616606,2.07,5.35,45.5733687327683,35.025017869907074,19.40161339732462
A515,PaWe03,NT,10-11m,10,Control,0,NA,1.4378311943242215,0.7424373277225245,2.17,5.81,43.67780844321783,35.367474189921296,20.954717366860883
A509,PaWe03,NT,20-21m,20,Control,0,NA,1.4495730378722285,0.7514636349116572,2.27,6.05,44.74572802619462,35.09669497595416,20.157576997851223
A547,PaWe03,NT,30-31m,30,Control,0,NA,1.4334061657488602,0.7385368826796641,2.65,4.88,38.57216230097586,36.569080636877246,24.858757062146893
A565,DeJo07,CT,0-1m,0,Control,0,NA,1.4076218175759223,0.7259038506497617,2.16,8,44.39901880621423,34.23957481602616,21.361406377759604
A576,DeJo07,CT,5-6m,5,Control,0,NA,1.2904559904902408,0.6720790037054335,1.71,7.75,53.81015362702208,31.335842913826433,14.85400345915149
A588,DeJo07,CT,10-11m,10,Control,0,NA,1.3078115534839982,0.6859356610466099,1.92,7.91,51.264274061990214,35.07340946166395,13.66231647634584
A586,DeJo07,CT,20-21m,20,Control,0,NA,1.4039598764786858,0.731744607503021,1.4,7.87,53.75253549695739,33.67139959432049,12.57606490872211
A580,DeJo07,CT,30-31m,30,Control,0,NA,1.4865698168505006,0.7732609002359873,1.35,7.92,51.647237709072485,35.37759756715661,12.975164723770908
A566,DeJo07,CT,1-2m,1,Nest,1,DeJo07_FIT_1.3,1.4546096443398433,0.7609353583088192,1.61,7.98,56.804553308263024,30.592539892265474,12.60290679947149
A569,DeJo07,CT,1-2m,1,Nest,1,DeJo07_FIT_1.4,1.4251409014924812,0.7346940145402272,1.41,8.06,53.240693782330865,30.124759103357338,16.634547114311793
A562,DeJo07,CT,1-2m,1,Nest,1,DeJo07_FIT_1.5,1.4074535404053568,0.7188748522174045,1.74,7.96,30.28699369020965,47.52696926521474,22.186037044575617
A502,DeJo07,CT,30-31m,30,Nest,1,DeJo07_FIT_1.7,1.4781363853877387,0.7636482124242008,1.68,7.94,45.07729861676159,37.32709519934907,17.59560618388934
A573,DeJo07,CT,30-31m,30,Nest,1,DeJo07_FIT_1.8,1.5135303730778704,0.7916659559335323,2.51,7.99,42.86593496768899,38.67063288542415,18.46343214688686
A617,DeJo03,CT,0-1m,0,Control,0,NA,1.4267893604274624,0.7285984044594943,2.6,7.62,28.336755646817238,43.83983572895278,27.82340862422998
A612,DeJo03,CT,5-6m,5,Control,0,NA,1.4508298063216374,0.737066133930592,1.78,6.31,33.82203217267358,41.74302586031359,24.43494196701283
A618,DeJo03,CT,10-11m,10,Control,0,NA,1.4035846804158731,0.6998728393705589,1.6,6.18,25.711382113821145,44.0040650406504,30.284552845528456
A609,DeJo03,CT,20-21m,20,Control,0,NA,1.3747290028268628,0.6846137262477486,1.72,5.9,23.178673178673172,45.27879527879528,31.542531542531542
A613,DeJo03,CT,30-31m,30,Nest,1,DeJo03_FIT_2.1,1.4366583357101408,0.7064371749023194,2.23,6.21,23.084790835634657,37.23023422317684,39.6849749411885
A615,DeJo03,CT,30-31m,30,Nest,1,DeJo03_FIT_2.2,1.428043293657758,0.7094570712462356,2.07,5.87,24.844276524047785,40.43704687021342,34.71867660573879
A578,DeJo03,CT,30-31m,30,Nest,1,DeJo03_FIT_2.3,1.444370994699607,0.70958821323269206,1.87,5.72,20.30979313156017,41.98512177723428,37.70508509120555
